strength,attention,meditation,deltha,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
51,0,0,1154595,179193,13335,44484,33138,204057,262653,64201
51,0,0,145774,322483,139989,83856,83715,461158,193445,88907
51,0,0,1084302,142764,60200,30645,37110,181713,328328,71307
51,0,0,247533,241141,23523,39242,48259,223951,362543,56752
80,0,0,751386,262307,16149,13767,16745,131624,185840,58791
51,0,0,732536,99231,61445,19438,30322,159233,295324,58968
51,0,0,63342,30925,13487,11084,13345,41400,47594,11804
51,0,0,242132,147836,15266,13274,48861,238946,356140,51123
80,0,0,140984,16296,15423,5302,21806,178659,74097,18713
51,0,0,93754,554482,79950,37446,17863,334248,270312,24529
51,0,0,758975,590351,59454,24458,73366,191907,234176,29790
51,0,0,164831,130272,46359,17951,32852,227393,289366,30535
80,0,0,603628,168004,29863,55523,135779,262013,348820,56366
51,0,0,1095425,133754,59947,51796,38809,263740,301792,119743
51,0,0,213399,575481,23466,10828,21922,149372,188981,22061
51,0,0,220357,611968,36662,36364,80409,180666,162559,66965
51,0,0,388969,127803,30285,71461,37687,322952,292367,140976
80,0,0,678994,132250,7315,142203,35364,147738,140715,59287
51,0,0,179704,345263,29276,13315,25203,273161,115007,56374
51,0,0,87974,110220,7826,24888,45969,197171,48329,23485
51,0,0,1515553,70242,50215,33514,42397,272194,147568,31153
80,0,0,108403,36100,4067,9279,23090,194327,49462,15098
51,0,0,524723,285581,26680,19888,27355,236645,192978,36728
51,0,0,296210,348633,50046,54054,77442,368750,157856,83901
51,0,0,130522,44601,32144,13675,29724,68300,30933,11273
51,0,0,624917,69502,20296,23599,51175,415379,530894,81362
25,0,0,638195,143148,15961,41198,42802,16548,2563,1522
29,0,0,1071530,12976,15010,28098,11678,20511,15375,1247
0,0,0,836026,26754,15400,25458,24649,40515,39307,1028
26,0,0,1562044,118865,133440,86896,30601,118236,99048,3921
26,0,0,1874494,619181,215099,147969,68939,305206,193136,17232
55,0,0,21239,33949,20745,6764,14232,29029,28326,27637
26,0,0,166182,33018,28609,16735,7321,71265,50901,17813
