strength,attention,meditation,deltha,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
25,0,0,660066,253163,12054,30001,45663,30987,4418,340
25,0,0,657935,246751,12369,30451,44234,29026,4231,289
25,0,0,644272,143248,21931,42443,43501,12076,3983,939
25,0,0,639554,135500,23271,44331,44457,12071,3788,1265
25,0,0,610359,244495,10902,29319,45644,31707,4459,401
25,0,0,631493,135220,24134,45573,45793,12719,3867,1185
25,0,0,580467,145826,18994,43127,45741,12165,4469,994
54,0,0,26,102,225,12,48,1533,2172,56
0,0,0,58006,45089,16741,15078,6013,9403,12405,295
0,0,0,2208970,363423,193207,79746,214712,232820,157899,19291
0,0,0,840640,35280,95784,31511,17487,50470,48053,1569
26,0,0,603162,57828,11795,7135,11444,167217,39402,6958
26,0,0,56270,12769,10073,5526,7148,55476,47482,10561
26,0,0,256125,234553,96816,107526,70118,137282,181009,54938
55,0,0,682300,328034,53104,73482,60708,139699,93712,53980
26,0,0,2218702,2319607,180989,73707,109930,1728121,95940,14775
26,0,0,222852,182680,224085,66361,42120,224774,105418,57926
26,0,0,542188,129475,192928,83242,62415,317481,322845,44998
55,0,0,47648,35729,25580,23345,26741,113894,65502,24271
26,0,0,1275601,131996,107610,129983,50670,259814,287851,102616
26,0,0,161490,141073,83402,81873,37351,156818,275763,66801
26,0,0,2290205,1580224,675322,231813,87980,1708929,282681,110994
55,0,0,193271,366799,103395,34522,32682,298753,98990,48815
26,0,0,308861,60307,9991,1792,13359,65494,27439,12857
26,0,0,1484929,357066,142602,126278,120756,146373,166938,62035
26,0,0,96888,33689,51873,55185,44757,85597,103450,31018
26,0,0,55274,29594,9536,9876,12809,85827,92698,33127
26,0,0,1759260,420911,34585,46741,185896,158149,337135,66822
26,0,0,75287,19832,23528,12188,14001,82879,83611,19710
26,0,0,234035,54970,172506,48286,89314,404870,94133,61527
26,0,0,990090,65299,190131,56534,131500,232203,205462,76905
26,0,0,1371214,267909,144197,11266,34369,126937,201131,72938
26,0,0,238604,152616,149369,38930,65404,468023,103394,33121
26,0,0,814714,263985,172981,145502,47691,352663,395904,78155
26,0,0,322798,110603,124629,78874,158368,436024,190453,118896
26,0,0,412660,1177052,204863,198999,122754,228413,92951,83678
26,0,0,120450,114994,85711,23091,83742,364648,95012,42188
26,0,0,436519,192634,89587,199769,126688,309955,397496,106085
26,0,0,40019,33931,24173,65387,31537,64554,41625,31282
26,0,0,668858,250097,26631,82213,119135,157339,97133,98070
26,0,0,342321,286626,166678,54075,75374,189766,229127,149200
26,0,0,63735,13129,7374,2428,15795,29487,41117,34068
0,43,47,536908,478884,425108,344886,98259,291244,410641,22967
26,43,47,457187,22201,29203,26698,1873,30105,47908,744
26,43,47,130785,9602,8622,2343,8652,56766,39815,21434
26,43,47,106300,146878,23649,14153,9426,194067,162515,5462
55,43,47,558802,229662,80847,211511,83133,29397,78851,6685
26,43,47,830516,14641,1190,13013,10018,28839,14529,8107
26,43,47,108396,201455,68555,54149,58080,212902,399641,84925
26,43,47,73329,52402,25612,25319,31902,53560,34617,16767
55,43,47,463599,68632,19871,9906,38414,28332,23607,31115
26,43,47,43235,70089,13049,12477,26774,69286,50051,37121
26,43,47,292542,35982,34057,58879,122790,206386,374232,98467
26,43,47,445597,71182,126910,117250,133743,232487,114530,56490
26,43,47,777240,192481,157110,30219,85745,242479,247006,56534
26,43,47,539823,144511,130787,117181,176955,240613,197689,121669
26,43,47,180296,247536,52553,76078,89732,134363,298239,101672
55,43,47,307907,121028,102696,33109,120221,151215,88760,131927
26,43,47,1041920,244122,34462,120497,76766,289266,337248,91766
26,43,47,156828,166241,47004,92672,119526,212757,200204,94616
26,43,47,516320,526055,140604,55581,54103,149329,90885,34323
54,43,47,110,55,23,16,10,13,17,4
25,43,47,2,7,9,1,3,24,37,5
25,43,47,22,12,14,6,14,97,155,20
25,43,47,618326,189590,7433,34974,43416,21247,2275,627
29,43,47,33191,35984,3391,2345,6557,4380,1295,258
26,43,47,2621138,227155,136466,122435,157339,489980,848529,108608
26,43,47,3191237,339424,598764,257705,140338,1016207,1125339,219671
26,43,47,383904,102784,74687,84691,124204,371343,260036,103660
26,43,47,185865,19280,4980,1500,3225,1420,1038,1791
26,43,47,1117179,281975,15563,82677,54858,456904,303244,47596
26,43,47,277146,58797,285195,83153,72307,421672,579876,149110
55,43,47,84529,57243,4969,11780,45253,45413,19788,62153
26,43,47,25384,40057,6760,2431,9153,1621,1664,1732
26,43,47,1839915,1063386,351225,818908,377030,646971,624290,243104
26,43,47,296175,222397,127423,70441,197584,431301,189642,86604
55,43,47,964456,66353,1542,2341,10722,5840,1900,8962
26,43,47,78511,34484,10342,32537,27686,54450,71579,11833
26,43,47,254237,49482,136364,42972,163559,298904,197936,150665
26,43,47,78149,57318,47768,15126,29708,149382,70642,21030
51,43,47,397661,145737,146416,88810,99931,250138,86941,49319
51,43,47,180592,122254,20719,79668,69212,173603,110997,77910
26,43,47,400553,126164,69834,80595,119396,204362,129704,77065
55,43,47,837343,202983,133339,84443,129696,220103,240462,93967
26,43,47,1392477,94064,68166,19423,113538,353512,168307,182126
26,43,47,256881,110789,72141,108386,76654,263900,129430,49700
26,43,47,169423,290369,110327,86467,48047,157083,515590,79584
55,43,47,1266564,134658,3105,8683,10323,12749,4897,8673
26,43,47,40113,35211,42959,50319,8555,133221,46844,14338
26,43,47,813060,656813,795935,753713,175363,1221312,1630337,250682
26,43,47,232949,395016,128155,65817,102020,207968,140605,216451
26,43,47,19919,17082,1812,1475,4807,792,926,806
26,43,47,2192330,819397,501934,562792,530143,363853,477861,262322
26,43,47,619613,381588,20273,59867,57061,622339,304273,122985
55,43,47,157776,23457,2251,7933,3383,3968,4352,855
26,43,47,335784,108612,17885,33795,76067,569267,169745,72147
26,43,47,1116399,104443,19328,95516,34333,441332,414171,75048
26,43,47,668219,562286,77581,83028,66380,304554,152874,68863
26,43,47,92081,14222,226,1869,4864,2031,2125,1896
26,43,47,678292,179414,247160,66084,58440,321478,286444,21733
26,43,47,542573,244420,124564,75087,280218,361284,279800,121499
26,43,47,856575,1032234,677479,786923,303869,923328,1037176,937411
26,43,47,12789,57420,1988,1683,9457,1958,1658,801
26,43,47,1360310,836518,391428,231068,435267,1145430,1105009,417495
26,43,47,1281007,110943,47168,125253,79729,317412,328519,178693
55,43,47,2689483,914718,268513,344686,511368,597867,884348,253203
26,43,47,72716,32552,14915,19982,20300,103167,150310,41077
26,43,47,341357,104646,88622,76785,90222,227791,235778,104386
26,43,47,1165051,180146,18125,126918,132420,269904,239015,120795
26,43,47,87342,25508,2129,1508,3777,1449,1415,1069
26,43,47,17377,42049,12488,27972,13151,100334,123114,17865
26,43,47,604301,114150,111336,195759,200275,378043,248918,138553
